SAMPLE ID2;Sample No;Location Name;Municipality;County;General Peatland Type;Specific Peatland Type;Generell myrtype;Naturtype;Detaljert Naturtype;NiN kode;Condition;Condition_notes;Notes_misc;ETRS89_UTM32_E;ETRS89_UTM32_N;Depth (cm);Depth_grouped (cm);BD (t/m3);moisture content (%);% SOM;% Ash content;SOM to SOC (conversion 0.5);C density (kg/m3);% Carbon;% Nitrogen;C:N ratio;Data collection date;Data contributors;Lab analysis
KM2;2;Kinn Marøy;Kinn;Vestland;bog;oceanic bog;nedbørsmyr;oseanisk nedbørsmyr;oseanisk nedbørsmyr;V3-C-1;intact;;;292768.39;6825534.14;30-40;0-50;0.05;91.9;98.5;1.5;49.25;24.625;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KM2;3;Kinn Marøy;Kinn;Vestland;bog;oceanic bog;nedbørsmyr;oseanisk nedbørsmyr;oseanisk nedbørsmyr;V3-C-1;intact;;;292768.39;6825534.14;70-80;50-100;;89.8;;;;0;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KM2;4;Kinn Marøy;Kinn;Vestland;bog;oceanic bog;nedbørsmyr;oseanisk nedbørsmyr;oseanisk nedbørsmyr;V3-C-1;intact;;;292768.39;6825534.14;80-90;50-100;0.09;91.92;93.39;6.61;46.69;42.021;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KR;1;Kinn rikmyr;Kinn;Vestland;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;292396.22;6822913.41;20-30;0-50;;87.1;;;;0;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KR;3;Kinn rikmyr;Kinn;Vestland;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;292396.22;6822913.41;70-80;50-100;;84.1;;;;0;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KR;4;Kinn rikmyr;Kinn;Vestland;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;292396.22;6822913.41;80-90;50-100;0.14;89.57;92.95;7.05;46.48;65.072;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KR;5;Kinn rikmyr;Kinn;Vestland;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;292396.22;6822913.41;120-130;100-150;;89.5;;;;0;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KR;6;Kinn rikmyr;Kinn;Vestland;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;292396.22;6822913.41;130-140;100-150;0.12;90.97;89.47;10.53;44.74;53.688;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KR;7;Kinn rikmyr;Kinn;Vestland;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;292396.22;6822913.41;170-180;150-200;;91.8;;;;0;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KR;8;Kinn rikmyr;Kinn;Vestland;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;292396.22;6822913.41;180-190;150-200;0.13;91.46;92.07;7.93;46.03;59.839;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KR;9;Kinn rikmyr;Kinn;Vestland;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;292396.22;6822913.41;220-230;200-250;;91.8;;;;0;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
KR;10;Kinn rikmyr;Kinn;Vestland;fen;rich fen;jordvannsmyr;rikmyr;rikmyr;V3-C-4;intact;;;292396.22;6822913.41;230-240;200-250;0.09;93.55;95.63;4.37;47.82;43.038;;;;18.08.2021;NTNU Vitenskapsmuseet;NTNU Vitenskapsmuseet
MI1;1;Midtfjellmåsan;Aurskog-Høland;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;650291.49;6649282.06;6-17;0-50;0.173;91.35;99.75;0.25;49.87;86.2751;44.74;1.54;29;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
MI1;2;Midtfjellmåsan;Aurskog-Høland;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;650291.49;6649282.06;30-40;0-50;0.211;87.78;99.6;0.4;49.8;105.078;47.91;0.88;54;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
MI1;3;Midtfjellmåsan;Aurskog-Høland;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;650291.49;6649282.06;130-140;1001-50;0.07;94.78;99.97;0.03;49.98;34.986;47.1;1.53;31;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
MI2;1;Midtfjellmåsan;Aurskog-Høland;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;650344.03;6649293.79;10-20;0-50;0.032;95.69;99.87;0.13;49.93;15.9776;44.44;1.55;29;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
MI2;2;Midtfjellmåsan;Aurskog-Høland;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;650344.03;6649293.79;60-70;50-100;0.097;93.78;99.79;0.21;49.89;48.3933;46.38;1.62;29;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
MI2;3;Midtfjellmåsan;Aurskog-Høland;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;650344.03;6649293.79;135-145;100-150;0.039;94.88;99.98;0.02;49.99;19.4961;45.25;1.56;29;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
Ringvål0039;1;Rørmyra;Trondheim;Trøndelag;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;564694.52;7026414.33;20-50;0-50;0.05;89.58;98.1;1.9;49.05;24.525;42.03;3.06;14;07.10.2020;NINA GRAN;NINA GRAN
Ringvål0039;2;Rørmyra;Trondheim;Trøndelag;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;564694.52;7026414.33;100-130;100-150;0.036;87.34;96.39;3.61;48.2;17.352;48.68;1.11;44;07.10.2020;NINA GRAN;NINA GRAN
